Sample_ID,Latitude_deg_SAR,Longitude_deg_SAR,Incidence_Angle_deg_SAR,Ground_Range_m_SAR,Slant_Range_m_SAR,Sat_Pos_X_m_SAR_OAT,Sat_Pos_Y_m_SAR_OAT,Sat_Pos_Z_m_SAR_OAT,Power_LH_DFSAR,Power_LV_DFSAR,CPR_DFSAR,DOP_DFSAR,Reflectance_OHRC,Elevation_m_TMC2,Slope_deg_TMC2,Reflectance_IIRS_1500nm,Reflectance_IIRS_2000nm,IIRS_Band_Ratio,IIRS_H2O_Absorption_Depth,Hazard_Class_Label
F2_0000,-86.5188,-145.7955,23.93,37113.22,94385.22,-122098.36,-38106.53,-1817441.47,0.0,1e-06,0.05,0.9048,0.1653,-1839.0,0.9,,,,,safe_flat
F2_0001,-86.52,-145.5223,24.22,37603.86,94588.85,-122098.36,-38106.53,-1817441.47,0.0,1e-06,0.05,0.9048,0.1653,-1838.9,0.9,,,,,safe_flat
F2_0002,-86.5212,-145.2514,24.5,38090.29,94792.94,-122098.36,-38106.53,-1817441.47,0.0,1e-06,0.05,0.9048,0.1653,-1838.9,0.9,,,,,safe_flat
F2_0003,-86.5224,-144.9424,24.83,38645.17,95028.4,-122098.36,-38106.53,-1817441.47,0.0,1e-06,0.05,0.9048,0.1653,-1838.9,0.9,,,,,safe_flat
F2_0004,-86.5235,-144.6393,25.15,39189.55,95262.12,-122098.36,-38106.53,-1817441.47,0.0,1e-06,0.05,0.9048,0.1653,-1838.9,0.9,,,,,safe_flat
F2_0005,-86.5245,-144.3333,25.47,39739.23,95500.86,-122098.36,-38106.53,-1817441.47,0.0,1e-06,0.05,0.9048,0.1653,-1839.0,0.9,,,,,safe_flat
F2_0006,-86.5255,-144.0052,25.82,40328.7,95759.89,-122098.36,-38106.53,-1817441.47,0.0,1e-06,0.05,0.9048,0.1653,-1839.0,0.9,,,,,safe_flat
F2_0007,-86.5263,-143.6927,26.15,40890.23,96009.53,-122098.36,-38106.53,-1817441.47,0.0,1e-06,0.05,0.9048,0.1653,-1839.1,0.9,,,,,safe_flat
F2_0008,-86.527,-143.3858,26.47,41441.74,96257.42,-122098.36,-38106.53,-1817441.47,0.0,1e-06,0.05,0.9048,0.1653,-1839.1,0.9,,,,,safe_flat
F2_0009,-86.521,-145.7322,24.0,37244.57,94439.52,-122098.36,-38106.53,-1817441.47,0.0,1e-06,0.05,0.9048,0.1653,-1838.9,0.9,,,,,safe_flat
F2_0010,-86.5222,-145.4649,24.28,37723.99,94639.05,-122098.36,-38106.53,-1817441.47,0.0,1e-06,0.05,0.9048,0.1653,-1838.8,0.9,,,,,safe_flat
F2_0011,-86.5234,-145.1766,24.58,38241.38,94856.77,-122098.36,-38106.53,-1817441.47,0.0,1e-06,0.05,0.9048,0.1653,-1838.8,0.9,,,,,safe_flat
