Sample_ID,Latitude_deg_SAR,Longitude_deg_SAR,Incidence_Angle_deg_SAR,Ground_Range_m_SAR,Slant_Range_m_SAR,Sat_Pos_X_m_SAR_OAT,Sat_Pos_Y_m_SAR_OAT,Sat_Pos_Z_m_SAR_OAT,Reflectance_OHRC,Elevation_m_TMC2,Slope_deg_TMC2,CPR_DFSAR,Hazard_Class_Label
sample_0001,-86.5188,-145.7955,23.93,94489.36,94341.11,-122098.36,-38106.53,-1817441.47,0.0,-1912.6,6.3,0.54,shadowing_obscuration
sample_0002,-86.5262,-144.944,24.83,95204.06,94341.06,-122098.36,-38106.53,-1817441.47,0.0,-1808.9,14.5,0.52,shadowing_obscuration
sample_0003,-86.5334,-143.9312,25.91,96002.14,94626.82,-122098.36,-38106.53,-1817441.47,0.0,-1848.2,22.1,1.38,steep_slope_hazard
sample_0004,-86.533,-145.618,24.13,94666.36,94855.21,-122098.36,-38106.53,-1817441.47,0.0,-1872.2,18.8,0.52,steep_slope_hazard
sample_0005,-86.5407,-144.658,25.15,95446.34,95083.6,-122098.36,-38106.53,-1817441.47,0.0,-1951.9,20.6,0.55,steep_slope_hazard
sample_0006,-86.5473,-143.7346,26.11,96192.7,95140.63,-121456.11,-37592.73,-1817489.41,0.0,-1951.9,17.2,1.19,steep_slope_hazard
sample_0007,-86.5473,-145.4238,24.35,94844.16,95369.01,-121456.11,-37592.73,-1817489.41,0.0,-1969.5,17.9,0.78,steep_slope_hazard
sample_0008,-86.5549,-144.4393,25.39,95632.15,95654.45,-121456.11,-37592.73,-1817489.41,0.0,-1824.1,21.5,1.21,steep_slope_hazard
sample_0009,-86.5615,-143.4151,26.46,96441.64,95882.8,-121456.11,-37592.73,-1817489.41,0.0,-1871.8,7.7,0.28,shadowing_obscuration
sample_0010,-86.562,-145.131,24.68,95083.51,96111.15,-121456.11,-37592.73,-1817489.41,0.0,-1852.5,13.3,0.83,shadowing_obscuration
sample_0011,-86.569,-144.213,25.64,95817.5,96168.3,-120813.85,-37078.93,-1817536.98,0.0,-1976.3,7.1,0.24,shadowing_obscuration
sample_0012,-86.5684,-145.8682,23.92,94489.33,96396.78,-120813.85,-37078.93,-1817536.98,0.0,-1805.4,24.7,0.28,steep_slope_hazard
sample_0013,-86.5762,-144.9262,24.9,95266.57,94455.2,-120813.85,-37078.93,-1817536.98,0.0,-1830.2,23.7,1.38,steep_slope_hazard
sample_0014,-86.5833,-143.9004,25.97,96064.72,94740.74,-120813.85,-37078.93,-1817536.98,0.0,-1941.8,2.9,0.38,shadowing_obscuration
sample_0015,-86.5831,-145.6004,24.22,94725.32,94969.16,-120813.85,-37078.93,-1817536.98,0.0,-1947.3,18.2,0.89,steep_slope_hazard
sample_0016,-86.5905,-144.7012,25.15,95444.0,95026.41,-120171.55,-36565.12,-1817584.18,0.0,-1947.0,23.3,0.73,steep_slope_hazard
sample_0017,-86.5973,-143.6678,26.22,96252.96,95254.47,-120171.55,-36565.12,-1817584.18,0.0,-1925.2,6.2,0.65,shadowing_obscuration
sample_0018,-86.5974,-145.3858,24.46,94903.85,95482.91,-120171.55,-36565.12,-1817584.18,0.0,-1885.5,15.1,1.37,steep_slope_hazard
sample_0019,-86.6049,-144.3953,25.48,95692.83,95768.39,-120171.55,-36565.12,-1817584.18,0.0,-1902.2,23.1,0.23,steep_slope_hazard
sample_0020,-86.6113,-143.4362,26.47,96442.02,95825.42,-120171.55,-36565.12,-1817584.18,0.0,-1927.6,2.8,1.06,shadowing_obscuration
